"trials","noises","absNoise","stringtypes","bigLoss"
1,0.261079739391494,28.3300849905891,"random",0
1,0.407457261107127,44.2136906682296,"asymmetric",0
1,0.340372250271874,36.9342132833245,"uido-optimized",0
2,0.412897511427475,31.5885227208715,"random",0
2,0.397166861237399,30.3850570007092,"asymmetric",0
2,0.328583535503149,25.1381231169485,"uido-optimized",0
3,0.27418638554575,26.716027271542,"random",0
3,0.331205193527737,32.27179557129,"asymmetric",0
3,0.331205193527737,32.27179557129,"uido-optimized",0
4,0.274299517520011,25.5412156747711,"random",0
4,0.219935503331332,20.4791469409533,"asymmetric",0
4,0.267879760617068,24.9434443147624,"uido-optimized",0
5,0.413932366824836,38.7223375928477,"random",0
5,0.268554553813821,25.1226068032413,"asymmetric",0
5,0.268554553813821,25.1226068032413,"uido-optimized",0
6,0.313170208903838,37.7124463654403,"random",0
6,0.190709411134621,22.965525565069,"asymmetric",0
6,0.2779513568616,33.4713371189886,"uido-optimized",0
7,0.162441443500854,14.3731192377504,"random",0
7,0.20617287283267,18.2425569543646,"asymmetric",0
7,0.183543789674567,16.2402938405756,"uido-optimized",0
8,0.281022975436509,23.9995439380048,"random",0
8,0.151841271696786,12.9673428516981,"asymmetric",0
8,0.343722608727192,29.3541331907846,"uido-optimized",0
9,0.328571116091008,34.3758195340503,"random",0
9,0.465820246453478,48.7351198665811,"asymmetric",0
9,0.248244434532551,25.9718686881158,"uido-optimized",0
10,0.389686108297451,49.2531036675735,"random",0
10,0.356786972099766,45.0949247353099,"asymmetric",0
10,0.332800865682051,42.0632791086935,"uido-optimized",0
11,0.247753752869639,26.5751702200007,"random",0
11,0.241150028044233,25.8668253037742,"asymmetric",0
11,0.268753109795273,28.8276547064935,"uido-optimized",0
12,0.365498841625774,44.7440900200856,"random",0
12,0.405293107376973,49.6156737469582,"asymmetric",0
12,0.236415853333283,28.941848835052,"uido-optimized",0
13,0.312038548419317,26.5941611357517,"random",0
13,0.167129142109357,14.2439431225768,"asymmetric",0
13,0.403173873918786,34.3613666421532,"uido-optimized",0
14,0.302598044310557,32.6034772259669,"random",0
14,0.310915645810658,33.4996585998455,"asymmetric",0
14,0.310915645810658,33.4996585998455,"uido-optimized",0
15,0.244228634350611,21.3624766814901,"random",0
15,0.197025337150332,17.2336433102041,"asymmetric",0
15,0.355800217312932,31.1215507789519,"uido-optimized",0
16,0.298573840331977,24.0556203066887,"random",0
16,0.159187181026727,12.825458453471,"asymmetric",0
16,0.365812382249572,29.4729228826499,"uido-optimized",0
17,0.28545555953347,28.1559974016296,"random",0
17,0.465123917568533,45.8776414650976,"asymmetric",0
17,0.288012373065796,28.4081894951739,"uido-optimized",0
18,0.209529232189101,23.5819618418803,"random",0
18,0.2982048141054,33.5621644475453,"asymmetric",0
18,0.2982048141054,33.5621644475453,"uido-optimized",0
19,0.391691985007132,42.8856609134337,"random",0
19,0.366364818504196,40.1126343616568,"asymmetric",0
19,0.283112248822795,30.9974581257592,"uido-optimized",0
20,0.276632872510913,30.512096590827,"random",0
20,0.241897583918967,26.6808582025334,"asymmetric",0
20,0.293120935946282,32.3306996352494,"uido-optimized",0
21,0.264561693695308,25.6212369020587,"random",0
21,0.316504068609664,30.6515490169675,"asymmetric",0
21,0.316504068609664,30.6515490169675,"uido-optimized",0
22,0.181506584646382,18.4242871408648,"random",0
22,0.4477375010116,45.4487328844982,"asymmetric",0
22,0.338752493880833,34.3859327698993,"uido-optimized",0
23,0.276638358669013,25.8232600109934,"random",0
23,0.167925963178875,15.6753236630966,"asymmetric",0
23,0.365390796882718,34.1080015039266,"uido-optimized",0
24,0.218344269460665,20.3747383669174,"random",0
24,0.306195285680453,28.5725329560191,"asymmetric",0
24,0.306195285680453,28.5725329560191,"uido-optimized",0
25,0.289472003265443,34.6548607115605,"random",0
25,0.441523834666809,52.8581238206359,"asymmetric",0
25,0.225788092373987,27.030782954075,"uido-optimized",0
26,0.303100532014316,29.7121050181259,"random",0
26,0.232433983765828,22.7848591671408,"asymmetric",0
26,0.321868451983522,31.5518721917133,"uido-optimized",0
27,0.396566838938426,43.2929074739265,"random",0
27,0.349727584176315,38.1795007957685,"asymmetric",0
27,0.349727584176315,38.1795007957685,"uido-optimized",0
28,0.203783791972143,21.7870240672553,"random",0
28,0.392161860023223,41.9269844765353,"asymmetric",0
28,0.334179954439303,35.7279970094906,"uido-optimized",0
29,0.251263016860009,26.359911799185,"random",0
29,0.411177979492761,43.1365324218605,"asymmetric",0
29,0.332765063647376,34.910261912847,"uido-optimized",0
30,0.310676233373666,31.6950917183443,"random",0
30,0.253853832256239,25.8980882092047,"asymmetric",0
30,0.253853832256239,25.8980882092047,"uido-optimized",0
31,0.372710397316885,40.5721668257465,"random",0
31,0.206082050733185,22.4334909955031,"asymmetric",0
31,0.274650903899723,29.8976963671541,"uido-optimized",0
32,0.379223567832559,38.0265418416449,"random",0
32,0.237590480550687,23.8243218940085,"asymmetric",0
32,0.310685621691564,31.1539176227259,"uido-optimized",0
33,0.337979056976244,35.6156534266896,"random",0
33,0.173827167646952,18.3176088318752,"asymmetric",0
33,0.310532884608091,32.7234228497459,"uido-optimized",0
34,0.330547925681256,39.4514511048801,"random",0
34,0.173896466378091,20.7548358577272,"asymmetric",0
34,0.371179497405371,44.3008975562067,"uido-optimized",0
35,0.292814356828655,30.9585512590098,"random",0
35,0.328595347594285,34.7415885687688,"asymmetric",0
35,0.328595347594285,34.7415885687688,"uido-optimized",0
36,0.287105260362744,37.6661356072717,"random",0
36,0.141518247830056,18.5661715390919,"asymmetric",0
36,0.328910717188655,43.1507094668352,"uido-optimized",0
37,0.227584593083635,20.6104928573697,"random",0
37,0.158710445000172,14.3731192377504,"asymmetric",0
37,0.353514975149598,32.0149873573227,"uido-optimized",0
38,0.362382087275042,48.3023076655742,"random",0
38,0.357419906360491,47.6408931044152,"asymmetric",0
38,0.329996081508301,43.9855412758027,"uido-optimized",0
39,0.17146694737938,20.0505803813639,"random",0
39,0.408183433850782,47.7311509643781,"asymmetric",0
39,0.259092103307297,30.2970754593625,"uido-optimized",0
40,0.318667220433488,31.1613060035068,"random",0
40,0.258912456985363,25.3181054809014,"asymmetric",0
40,0.258912456985363,25.3181054809014,"uido-optimized",0
41,0.384271748395113,39.9324299393431,"random",0
41,0.239079712725229,24.8444854928603,"asymmetric",0
41,0.239079712725229,24.8444854928603,"uido-optimized",0
42,0.314475469532128,36.3904163889074,"random",0
42,0.335658128094694,38.8416275007397,"asymmetric",0
42,0.335658128094694,38.8416275007397,"uido-optimized",0
43,0.277677257927189,30.0135582065569,"random",0
43,0.445337982700116,48.1356577961648,"asymmetric",0
43,0.258401536657474,27.9300855209628,"uido-optimized",0
44,0.321110670941808,35.2088963895079,"random",0
44,0.350659417978227,38.4488347253896,"asymmetric",0
44,0.283108443915995,31.0420573679393,"uido-optimized",0
45,0.246994184359013,27.2074956184373,"random",0
45,0.188197006228779,20.7307278738593,"asymmetric",0
45,0.248949476264695,27.4228796206748,"uido-optimized",0
46,0.332014785373063,36.125773207233,"random",0
46,0.354395690758637,38.5609885884494,"asymmetric",0
46,0.284238921430466,30.9273901785056,"uido-optimized",0
47,0.307305335987247,26.8594325627833,"random",0
47,0.357852105782909,31.2773758771469,"asymmetric",0
47,0.290972222031689,25.4318681131775,"uido-optimized",0
48,0.325908530214612,40.4222369112967,"random",0
48,0.244753794618202,30.3566643821225,"asymmetric",0
48,0.330274378671688,40.9637304418113,"uido-optimized",0
49,0.309305019213817,32.5863453197567,"random",0
49,0.172108019879374,18.1321705750008,"asymmetric",0
49,0.351819873382906,37.0654311189281,"uido-optimized",0
50,0.305491541034663,36.3494438692354,"random",0
50,0.364088960452077,43.3217600282404,"asymmetric",0
50,0.322038361571757,38.3182961729368,"uido-optimized",0
51,0.314733228173983,36.8329856429022,"random",0
51,0.460714131047038,53.9170175096895,"asymmetric",0
51,0.246140179078964,28.8055942957036,"uido-optimized",0
52,0.31184978087985,32.8845795829058,"random",0
52,0.164497034777566,17.346222966817,"asymmetric",0
52,0.362404477989597,38.215575666035,"uido-optimized",0
53,0.408729121036017,40.401650298256,"random",0
53,0.401525075718893,39.6895519801878,"asymmetric",0
53,0.313529231291076,30.9914261278849,"uido-optimized",0
54,0.360086128950015,28.5249973494163,"random",0
54,0.428001006640752,33.9050204893333,"asymmetric",0
54,0.237412914745663,18.8071747822791,"uido-optimized",0
55,0.236896923298751,25.0587146329016,"random",0
55,0.164776771370048,17.4299186093089,"asymmetric",0
55,0.313223429799096,33.1324545476511,"uido-optimized",0
56,0.305937569595757,31.9184436065124,"random",0
56,0.33896792644701,35.3644982504476,"asymmetric",0
56,0.301085550149831,31.4122327829541,"uido-optimized",0
57,0.279678010290975,38.078072142285,"random",0
57,0.305832544924931,41.6390037135713,"asymmetric",0
57,0.305832544924931,41.6390037135713,"uido-optimized",0
58,0.365147448290905,38.3363761746429,"random",0
58,0.41629549709904,43.7063461659038,"asymmetric",0
58,0.274768460867869,28.8475987606145,"uido-optimized",0
59,0.400759042054406,41.676236113478,"random",0
59,0.249717240142097,25.968907921372,"asymmetric",0
59,0.333176170563646,34.6480735172279,"uido-optimized",0
60,0.279861779551597,28.6608460452691,"random",0
60,0.204341519759275,20.9267619460597,"asymmetric",0
60,0.260865586958495,26.7154323048523,"uido-optimized",0
61,0.383061874841151,31.3827366679018,"random",0
61,0.207948447243593,17.0363896512828,"asymmetric",0
61,0.257025247673107,21.0570568216225,"uido-optimized",0
62,0.302647675113422,32.7719610513258,"random",0
62,0.236797634239691,25.6414421271895,"asymmetric",0
62,0.284159781314717,30.7700142818186,"uido-optimized",0
63,0.34471079001495,32.4714145704646,"random",0
63,0.222037238996659,20.9156877196363,"asymmetric",0
63,0.297844693967492,28.0566747998,"uido-optimized",0
64,0.361472704302687,36.6233033963784,"random",0
64,0.268525448703351,27.2061731368699,"asymmetric",0
64,0.268525448703351,27.2061731368699,"uido-optimized",0
65,0.184688031852573,21.5579684850766,"random",0
65,0.406068857129132,47.3989545340369,"asymmetric",0
65,0.334177177706903,39.0072978371872,"uido-optimized",0
66,0.262062125493585,31.1717371027688,"random",0
66,0.212477130115756,25.2737064840805,"asymmetric",0
66,0.275146407702537,32.7280848749915,"uido-optimized",0
67,0.281052557753396,28.1021933891511,"random",0
67,0.160407255175645,16.0389776986985,"asymmetric",0
67,0.36602892605628,36.5989043055865,"uido-optimized",0
68,0.221801994114588,22.0447496295115,"random",0
68,0.401325423237148,39.8874613843645,"asymmetric",0
68,0.277096773344659,27.5404602015107,"uido-optimized",0
69,0.286350879024615,29.9160026316503,"random",0
69,0.33504380538534,35.0031101624953,"asymmetric",0
69,0.29058070340805,30.3579060678027,"uido-optimized",0
70,0.306682874036393,31.783275988339,"random",0
70,0.307482307315844,31.86612576805,"asymmetric",0
70,0.307482307315844,31.86612576805,"uido-optimized",0
71,0.220956473939944,26.8726576840792,"random",0
71,0.175724162220469,21.3715179916192,"asymmetric",0
71,0.250726267590342,30.4932507349543,"uido-optimized",0
72,0.354142277843357,41.6259907416333,"random",0
72,0.248999663070867,29.267495913725,"asymmetric",0
72,0.3140731545168,36.9162538337051,"uido-optimized",0
73,0.310764799448853,30.8551516779416,"random",0
73,0.275830635325189,27.386615554515,"asymmetric",0
73,0.275830635325189,27.386615554515,"uido-optimized",0
