ParticipantIdentifier,Age,Low Start/High Start,Clump/Even,NativeSpeaker,EngAoA,Bilingual,Gender,WorkerType,TimeToCompletion,CompletionDate,R,Rmin,Rmax,dprime,dmin,dmax,AUROC,File,Task Condition,Fit type
F5byVBDpa03pXVUqdAvn,30,High Start,Even,1,unknown,0,male,turker,29,20/07/2020,1.10594423146397E-05,0,0.45,0.218195082273869,3.37167219239283E-05,0.474868267725026,0.561312927803125,\\campus\rdw\ion02\02\smulderslab\Memory ROC\Georgia data\Christine test data\F5byVBDpa03pXVUqdAvn_responses.xlsx,Sheet1,Conf
FThcQwVl7lBbPmbqijLk,47,Low Start,Clump,1,unknown,0,male,turker,12,20/07/2020,0.163614328484862,0,0.25,0.4844470944727,0.132988708989282,0.840072807913508,0.693910721433163,\\campus\rdw\ion02\02\smulderslab\Memory ROC\Georgia data\Christine test data\FThcQwVl7lBbPmbqijLk_responses.xlsx,Sheet1,Conf
u1I24m3v3qixyarBgr8M,27,Low Start,Clump,1,unknown,0,male,turker,13,20/07/2020,2.57378816604693E-06,0,0.05,2.05263236462744E-05,7.84035796879616E-06,0.188385319849418,0.500006790595744,\\campus\rdw\ion02\02\smulderslab\Memory ROC\Georgia data\Christine test data\u1I24m3v3qixyarBgr8M_responses.xlsx,Sheet1,Conf
Nb0lkuUSIll2q8a8N860,53,Low Start,Clump,1,unknown,0,female,turker,18,20/07/2020,0.07509470347328,0,0.2,0.8382121655835,0.417771873275699,1.19384738606479,0.744088468804445,\\campus\rdw\ion02\02\smulderslab\Memory ROC\Georgia data\Christine test data\Nb0lkuUSIll2q8a8N860_responses.xlsx,Sheet1,Conf
0VrYliuVSykEMQQiLToH,29,Low Start,Even,1,unknown,0,male,turker,34,20/07/2020,0.085717323660564,0.01,0.15,0.280360397870068,0.021247456699124,0.533141104518047,0.614696490184137,\\campus\rdw\ion02\02\smulderslab\Memory ROC\Georgia data\Christine test data\0VrYliuVSykEMQQiLToH_responses.xlsx,Sheet1,Conf
a0mGaLjGavE4oQHYsCUv,33,High Start,Even,1,unknown,1,male,turker,33,20/07/2020,0.476867621483381,0.3,0.5,1.0059813952255,0.352571179866168,1.73516458332743,0.875265102477497,\\campus\rdw\ion02\02\smulderslab\Memory ROC\Georgia data\Christine test data\a0mGaLjGavE4oQHYsCUv_responses.xlsx,Sheet1,Conf
UYGETxIi2KFC671yteAT,25,Low Start,Clump,1,unknown,1,female,turker,26,20/07/2020,2.56868906418739E-06,0,0.25,1.28847784081928,0.981695239980145,1.53656197408191,0.818876568455673,\\campus\rdw\ion02\02\smulderslab\Memory ROC\Georgia data\Christine test data\UYGETxIi2KFC671yteAT_responses.xlsx,Sheet1,Conf
JiPQnvvWW2O2wYJJaKRQ,33,High Start,Clump,0,4,1,male,turker,12,20/07/2020,0.257164542633764,0,0.35,1.1807624778836,0.857349696360608,1.66191837217603,0.850036142144876,\\campus\rdw\ion02\02\smulderslab\Memory ROC\Georgia data\Christine test data\JiPQnvvWW2O2wYJJaKRQ_responses.xlsx,Sheet1,Conf
3gjgXV5oRLIHsS9R4idI,28,High Start,Clump,1,unknown,1,male,turker,18,20/07/2020,2.44249801247277E-05,0,0.1,2.10527512244897E-05,8.04143541105908E-06,0.103178665982092,0.500017864557782,\\campus\rdw\ion02\02\smulderslab\Memory ROC\Georgia data\Christine test data\3gjgXV5oRLIHsS9R4idI_responses.xlsx,Sheet1,Conf
jC2lAXdlwhC53JyjuUgb,23,Low Start,Clump,1,unknown,1,male,turker,23,20/07/2020,6.27975851081844E-07,0,0.4,0.453160138707765,1.18794556311255E-05,0.653926865657821,0.625679740292538,\\campus\rdw\ion02\02\smulderslab\Memory ROC\Georgia data\Christine test data\jC2lAXdlwhC53JyjuUgb_responses.xlsx,Sheet1,Conf
