"Participant","File","Task.Condition","Fit.type","R","Rmin","Rmax","dprime","dmin","dmax","AUROC","Frequency","Age","Sex","LowOrHighStart","ClumpedOrEven","NativeSpeaker","EngAoA","Bilingual","WorkerType","TimeToCompletion"
"nhuEHcJYNRACSLLqGY8v","nhuEHcJYNRACSLLqGY8v_responses_high.xlsx","Sheet1","Conf",0.0625944175,0,0.1,0.2620750794,5.5994e-05,0.7725707809,0.6002046998,"high",56,"male","High Start","Clump",TRUE,"unknown",FALSE,"turker",17
"nhuEHcJYNRACSLLqGY8v","nhuEHcJYNRACSLLqGY8v_responses_low.xlsx","Sheet1","Conf",0.1063734525,0,0.15,0.3583094137,3.37240617446766e-05,0.892899485,0.6425545818,"low",56,"male","High Start","Clump",TRUE,"unknown",FALSE,"turker",17
"nkDhsoFTuRHSc7bd9MhC","nkDhsoFTuRHSc7bd9MhC_responses_high.xlsx","Sheet1","Conf",0.6069772217,0,0.7,0.3910962302,3.79084637026536e-05,1.4566919947,0.8463026074,"high",27,"male","High Start","Clump",TRUE,"unknown",FALSE,"turker",38
"nkDhsoFTuRHSc7bd9MhC","nkDhsoFTuRHSc7bd9MhC_responses_low.xlsx","Sheet1","Conf",1.17874145507906e-06,0,0.1,0.0014431534,2.16840434497101e-18,0.2457067197,0.5004074082,"low",27,"male","High Start","Clump",TRUE,"unknown",FALSE,"turker",38
"nKlCkq5OWso2pujfxJLD","nKlCkq5OWso2pujfxJLD_responses_high.xlsx","Sheet1","Conf",7.13194189859401e-09,0,0.35,0.5917107249,4.89428052247044e-05,0.9771383613,0.6621733434,"high",30,"male","Low Start","Clump",TRUE,"unknown",FALSE,"turker",15
"nKlCkq5OWso2pujfxJLD","nKlCkq5OWso2pujfxJLD_responses_low.xlsx","Sheet1","Conf",5.59188391711994e-08,0,0.15,0.0750621472,6.93889390390723e-18,0.4424034854,0.5211644426,"low",30,"male","Low Start","Clump",TRUE,"unknown",FALSE,"turker",15
"npSxykaJcxUwWf147xfI","npSxykaJcxUwWf147xfI_responses_high.xlsx","Sheet1","Conf",0.0601682334,0,0.5,0.6997634177,0.0120618939,1.0154523339,0.7083059848,"high",45,"male","High Start","Even",TRUE,"unknown",FALSE,"turker",22
"npSxykaJcxUwWf147xfI","npSxykaJcxUwWf147xfI_responses_low.xlsx","Sheet1","Conf",0.3608211485,0,0.6,0.556257658,5.30874309421643e-05,1.164282339,0.7781812723,"low",45,"male","High Start","Even",TRUE,"unknown",FALSE,"turker",22
"nt0l5qvfaeXG8gGXjhkj","nt0l5qvfaeXG8gGXjhkj_responses_high.xlsx","Sheet1","Conf",0.3800985912,0.25,0.5,0.5632114223,5.37352587274802e-05,1.1169394839,0.7859956499,"high",29,"female","High Start","Even",TRUE,"unknown",FALSE,"turker",15
"nt0l5qvfaeXG8gGXjhkj","nt0l5qvfaeXG8gGXjhkj_responses_low.xlsx","Sheet1","Conf",0.7375208717,0.45,0.8,1.3264043648,0.1830810927,2.2537130957,0.9542901644,"low",29,"female","High Start","Even",TRUE,"unknown",FALSE,"turker",15
"NUQAq7JV6tCChSvLs3vh","NUQAq7JV6tCChSvLs3vh_responses_high.xlsx","Sheet1","Conf",6.73597199565031e-05,0,0.1,3.50457429886024e-06,1.33862826606528e-06,0.2462451564,0.5000343817,"high",43,"male","High Start","Clump",TRUE,"unknown",FALSE,"turker",32
"NUQAq7JV6tCChSvLs3vh","NUQAq7JV6tCChSvLs3vh_responses_low.xlsx","Sheet1","Conf",5.05454470150301e-07,0,0.1,0.0113767994,5.71684025211603e-05,0.2885425782,0.5032092656,"low",43,"male","High Start","Clump",TRUE,"unknown",FALSE,"turker",32
"nv7mSUnQr47tb5FtkRLR","nv7mSUnQr47tb5FtkRLR_responses_high.xlsx","Sheet1","Conf",0.1927174565,0,0.7,0.8763174578,4.30309495940758e-05,1.3839650202,0.7838545589,"high",27,"male","High Start","Even",TRUE,"unknown",FALSE,"turker",16
"nv7mSUnQr47tb5FtkRLR","nv7mSUnQr47tb5FtkRLR_responses_low.xlsx","Sheet1","Conf",0.0458453125,0,0.25,1.33153579308376e-18,1.33153579308376e-18,0.2388976724,0.5229223565,"low",27,"male","High Start","Even",TRUE,"unknown",FALSE,"turker",16
"O0QtWgLHrU0jhptwjkMO","O0QtWgLHrU0jhptwjkMO_responses_high.xlsx","Sheet1","Conf",0.0303777792,0,0.1,0.9261930597,0.5452394099,1.3230583909,0.7515238617,"high",35,"female","High Start","Clump",FALSE,"16",TRUE,"turker",20
"O0QtWgLHrU0jhptwjkMO","O0QtWgLHrU0jhptwjkMO_responses_low.xlsx","Sheet1","Conf",0.133823373,0,0.25,1.0491950436,0.5829460412,1.4889791038,0.8015793405,"low",35,"female","High Start","Clump",FALSE,"16",TRUE,"turker",20
"O28BQaByq9cNLs4tBMwN","O28BQaByq9cNLs4tBMwN_responses_high.xlsx","Sheet1","Conf",6.53576499487335e-06,0,0.4,0.4782689817,4.07554208541923e-05,0.7538126616,0.6323910676,"high",31,"male","Low Start","Even",TRUE,"unknown",TRUE,"turker",11
"O28BQaByq9cNLs4tBMwN","O28BQaByq9cNLs4tBMwN_responses_low.xlsx","Sheet1","Conf",0.3840246553,0.25,0.5,2.4565667827154e-06,1.60485420448096e-06,0.4834488405,0.6920123578,"low",31,"male","Low Start","Even",TRUE,"unknown",TRUE,"turker",11
"oBDPpgpdJJQpvDmrTG7k","oBDPpgpdJJQpvDmrTG7k_responses_high.xlsx","Sheet1","Conf",3.863e-06,0,0.25,0.2369778135,1.7892e-05,0.4858822668,0.5665400561,"high",32,"male","Low Start","Clump",TRUE,"unknown",FALSE,"turker",15
"oBDPpgpdJJQpvDmrTG7k","oBDPpgpdJJQpvDmrTG7k_responses_low.xlsx","Sheet1","Conf",0.2872381787,0,0.45,0.1443152089,6.59194920871187e-17,0.7410467033,0.6725854202,"low",32,"male","Low Start","Clump",TRUE,"unknown",FALSE,"turker",15
"okP22ElrHo3EiH48Vw4B","okP22ElrHo3EiH48Vw4B_responses_high.xlsx","Sheet1","Conf",0.1634880483,0.02,0.3,2.94371217023993e-07,3.407714801074e-07,0.4699294088,0.5817437601,"high",45,"male","Low Start","Clump",TRUE,"unknown",FALSE,"turker",17
"okP22ElrHo3EiH48Vw4B","okP22ElrHo3EiH48Vw4B_responses_low.xlsx","Sheet1","Conf",3.79267483361366e-06,0,0.075,3.21989155918511e-06,1.22988913551982e-06,0.0818490227,0.500002518,"low",45,"male","Low Start","Clump",TRUE,"unknown",FALSE,"turker",17
"olxyimXOf6bgbhPHjefq","olxyimXOf6bgbhPHjefq_responses_high.xlsx","Sheet1","Conf",0.1982458723,0,0.35,0.5108537321,0.0024123336,1.0308292776,0.7121984742,"high",20,"male","High Start","Clump",FALSE,"13",TRUE,"turker",12
"olxyimXOf6bgbhPHjefq","olxyimXOf6bgbhPHjefq_responses_low.xlsx","Sheet1","Conf",0.5276153946,0.25,0.6,0.5733092505,6.02029331230646e-05,1.2887680581,0.8381630471,"low",20,"male","High Start","Clump",FALSE,"13",TRUE,"turker",12
"Or7cOaMVjEqeb69WHTfB","Or7cOaMVjEqeb69WHTfB_responses_high.xlsx","Sheet1","Conf",1.00751044250266e-05,0,0.03,1.07038871101633e-06,4.08852106434047e-07,0.0591912107,0.5000050528,"high",26,"male","Low Start","Clump",TRUE,"unknown",TRUE,"turker",14
"Or7cOaMVjEqeb69WHTfB","Or7cOaMVjEqeb69WHTfB_responses_low.xlsx","Sheet1","Conf",1.17e-07,0,0.45,1.1507251412,0.5780665299,1.4799340363,0.7920871747,"low",26,"male","Low Start","Clump",TRUE,"unknown",TRUE,"turker",14
"oXNCXYu9aEBTI5JwWCD7","oXNCXYu9aEBTI5JwWCD7_responses_high.xlsx","Sheet1","Conf",0.0291868087,0,0.3,0.9203003383,0.416279992,1.2350790153,0.7499145957,"high",44,"female","High Start","Clump",TRUE,"unknown",FALSE,"turker",17
"oXNCXYu9aEBTI5JwWCD7","oXNCXYu9aEBTI5JwWCD7_responses_low.xlsx","Sheet1","Conf",0.1398119689,0,0.25,0.0768781016,3.33653092767368e-05,0.6567317871,0.5885513089,"low",44,"female","High Start","Clump",TRUE,"unknown",FALSE,"turker",17
"OYqyDxALJwtWFO19KuiR","OYqyDxALJwtWFO19KuiR_responses_high.xlsx","Sheet1","Conf",0.0005414063,0,0.075,3.33066907387547e-16,3.33066907387547e-16,0.2487896106,0.5002704163,"high",22,"female","Low Start","Even",TRUE,"unknown",FALSE,"turker",17
"OYqyDxALJwtWFO19KuiR","OYqyDxALJwtWFO19KuiR_responses_low.xlsx","Sheet1","Conf",0.2472456708,0,0.45,0.3837941316,4.04774534336998e-05,0.9614121966,0.7041310653,"low",22,"female","Low Start","Even",TRUE,"unknown",FALSE,"turker",17
"p95f2GAcydLRO3IgtXV6","p95f2GAcydLRO3IgtXV6_responses_high.xlsx","Sheet1","Conf",0.0465752662,0,0.2,0.0249778977,6.93889390390723e-18,0.3847435007,0.5300049445,"high",30,"male","Low Start","Clump",TRUE,"unknown",FALSE,"turker",32
"p95f2GAcydLRO3IgtXV6","p95f2GAcydLRO3IgtXV6_responses_low.xlsx","Sheet1","Conf",1.38113528021853e-06,0,0.075,0.0014492745,2.76786790539805e-05,0.3053655556,0.500409236,"low",30,"male","Low Start","Clump",TRUE,"unknown",FALSE,"turker",32
"Ph4ikT1rwiAGQLwmW5kC","Ph4ikT1rwiAGQLwmW5kC_responses_high.xlsx","Sheet1","Conf",6.42157380480439e-09,0,0.03,0.213497418,3.95353139554487e-05,0.5722603041,0.5599982384,"high",52,"male","Low Start","Even",TRUE,"unknown",FALSE,"turker",15
"Ph4ikT1rwiAGQLwmW5kC","Ph4ikT1rwiAGQLwmW5kC_responses_low.xlsx","Sheet1","Conf",0.1912250844,0.075,0.3,0.2814545775,3.90774922521934e-05,0.7364038429,0.6594050428,"low",52,"male","Low Start","Even",TRUE,"unknown",FALSE,"turker",15
"pkYmrOvDnA80ltrPd8th","pkYmrOvDnA80ltrPd8th_responses_high.xlsx","Sheet1","Conf",0.7505228992,0.45,0.9,2.89413356222218e-06,2.29817330230951e-06,0.8953053572,0.8752611515,"high",25,"male","High Start","Even",TRUE,"unknown",FALSE,"turker",22
"pkYmrOvDnA80ltrPd8th","pkYmrOvDnA80ltrPd8th_responses_low.xlsx","Sheet1","Conf",1.11583740416132e-06,0,0.9,0.7157178687,3.44862180475104e-05,1.1666106296,0.6936029502,"low",25,"male","High Start","Even",TRUE,"unknown",FALSE,"turker",22
"pN7ly3qFENDySgHJ5Kgf","pN7ly3qFENDySgHJ5Kgf_responses_high.xlsx","Sheet1","Conf",0.0002174062,0,0.9,2.5714791108,8.88178419700125e-16,2.8852805043,0.9654988527,"high",27,"male","High Start","Clump",TRUE,"unknown",FALSE,"turker",51
"pN7ly3qFENDySgHJ5Kgf","pN7ly3qFENDySgHJ5Kgf_responses_low.xlsx","Sheet1","Conf",0.0005275033,0,0.6,1.7718620182,5.06863743812034e-05,2.0429671092,0.894933316,"low",27,"male","High Start","Clump",TRUE,"unknown",FALSE,"turker",51
"pPDl4XuoVjfHh7fcQDQq","pPDl4XuoVjfHh7fcQDQq_responses_high.xlsx","Sheet1","Conf",0.8148134431,0.8,0.8,2.03259276736343e-06,1.9618770087323e-06,1.0564588163,0.9074063075,"high",26,"male","High Start","Even",FALSE,"10",TRUE,"turker",38
"pPDl4XuoVjfHh7fcQDQq","pPDl4XuoVjfHh7fcQDQq_responses_low.xlsx","Sheet1","Conf",0.7243582099,0.15,0.8,0.7103318136,7.7715611723761e-16,2.1084568256,0.9151750454,"low",26,"male","High Start","Even",FALSE,"10",TRUE,"turker",38
"PsktWkVq7u5Vi9D8k2xa","PsktWkVq7u5Vi9D8k2xa_responses_high.xlsx","Sheet1","Conf",1.88125321874403e-05,0,0.05,4.88686874607648e-06,1.86661776244164e-06,0.2207934649,0.5000104981,"high",34,"male","High Start","Even",TRUE,"unknown",FALSE,"turker",14
"PsktWkVq7u5Vi9D8k2xa","PsktWkVq7u5Vi9D8k2xa_responses_low.xlsx","Sheet1","Conf",0.1210955316,0,0.7,1.9001640336,0.544476609,2.2769861125,0.9213062652,"low",34,"male","High Start","Even",TRUE,"unknown",FALSE,"turker",14
"pWeHCpM6oniLeQ3IWLl3","pWeHCpM6oniLeQ3IWLl3_responses_high.xlsx","Sheet1","Conf",3.39910832726312e-07,0,0.4,0.2876065655,7.63278329429795e-17,0.758569705,0.5805763654,"high",29,"female","High Start","Clump",TRUE,"unknown",FALSE,"turker",25
"pWeHCpM6oniLeQ3IWLl3","pWeHCpM6oniLeQ3IWLl3_responses_low.xlsx","Sheet1","Conf",8.74302042021529e-08,0,0.3,0.1149273124,3.44925549404607e-05,0.5762103909,0.5323845003,"low",29,"female","High Start","Clump",TRUE,"unknown",FALSE,"turker",25
