"Participant","File","Task.Condition","Fit.type","R","Rmin","Rmax","dprime","dmin","dmax","AUROC","Frequency","Age","Sex","LowOrHighStart","ClumpedOrEven","NativeSpeaker","EngAoA","Bilingual","WorkerType","TimeToCompletion"
"QiMCA4ltqBfTaI4TnQ8T","QiMCA4ltqBfTaI4TnQ8T_responses_low.xlsx","Sheet1","Conf",0.0260249417,0,0.2,1.55055058714226e-07,1.55055058714226e-07,0.2032948133,0.5130122194,"low",25,"female","High Start","Even",TRUE,"unknown",TRUE,"turker",15
"qp3ekLuKrVAwKKoD8foi","qp3ekLuKrVAwKKoD8foi_responses_high.xlsx","Sheet1","Conf",0.1572940057,0,0.35,0.7287001395,0.0076826198,1.2799152145,0.7445059183,"high",32,"female","Low Start","Even",TRUE,"unknown",FALSE,"turker",17
"qp3ekLuKrVAwKKoD8foi","qp3ekLuKrVAwKKoD8foi_responses_low.xlsx","Sheet1","Conf",0.1945940991,0,0.5,1.4535177084,0.4837740235,1.9680439376,0.8775588533,"low",32,"female","Low Start","Even",TRUE,"unknown",FALSE,"turker",17
"QTMg4pTB05wI5r0UOg07","QTMg4pTB05wI5r0UOg07_responses_high.xlsx","Sheet1","Conf",3.2238302796109e-08,0,0.2,0.1834028079,1.38777878078145e-17,0.4338143619,0.5515920474,"high",27,"male","Low Start","Clump",TRUE,"unknown",TRUE,"volunteer",16
"QTMg4pTB05wI5r0UOg07","QTMg4pTB05wI5r0UOg07_responses_low.xlsx","Sheet1","Conf",0.576311056,0,0.8,0.3797504932,7.95220273331657e-06,1.2807083973,0.8330035645,"low",27,"male","Low Start","Clump",TRUE,"unknown",TRUE,"volunteer",16
"qYWdhLfoAG7dXx6DuqtW","qYWdhLfoAG7dXx6DuqtW_responses_high.xlsx","Sheet1","Conf",1.23914796860024e-08,0,0.075,0.8721267275,0.582993052,1.1610887575,0.7312790216,"high",57,"male","High Start","Even",TRUE,"unknown",TRUE,"turker",32
"qYWdhLfoAG7dXx6DuqtW","qYWdhLfoAG7dXx6DuqtW_responses_low.xlsx","Sheet1","Conf",0.0403900549,0,0.35,1.4387825244,0.8109264236,1.7738852622,0.8517514481,"low",57,"male","High Start","Even",TRUE,"unknown",TRUE,"turker",32
"QYX17jNRb4VvB6buMohJ","QYX17jNRb4VvB6buMohJ_responses_high.xlsx","Sheet1","Conf",0.3006221775,0,0.5,0.8475862454,0.0431596474,1.5320335794,0.8080379144,"high",45,"female","High Start","Clump",TRUE,"unknown",FALSE,"turker",14
"QYX17jNRb4VvB6buMohJ","QYX17jNRb4VvB6buMohJ_responses_low.xlsx","Sheet1","Conf",0.243575738,0.01,0.4,0.1905400361,0,0.7858137717,0.6623229511,"low",45,"female","High Start","Clump",TRUE,"unknown",FALSE,"turker",14
"qYXNA9vDaHdVjPb17qlN","qYXNA9vDaHdVjPb17qlN_responses_high.xlsx","Sheet1","Conf",0.1561973161,0,0.35,0.9944702674,0.52285763,1.4502172935,0.7966714471,"high",45,"female","High Start","Clump",TRUE,"unknown",FALSE,"turker",10
"qYXNA9vDaHdVjPb17qlN","qYXNA9vDaHdVjPb17qlN_responses_low.xlsx","Sheet1","Conf",0.26009402,0,0.45,0.6908229264,0.1604967862,1.1538102533,0.7687029017,"low",45,"female","High Start","Clump",TRUE,"unknown",FALSE,"turker",10
"R2oJFjxMkh2gKbTM1LLR","R2oJFjxMkh2gKbTM1LLR_responses_high.xlsx","Sheet1","Conf",0.0704979383,0.02,0.15,3.66836545693594e-06,1.62205364037814e-06,0.2436938346,0.5352496241,"high",36,"male","High Start","Even",TRUE,"unknown",FALSE,"turker",9
"R2oJFjxMkh2gKbTM1LLR","R2oJFjxMkh2gKbTM1LLR_responses_low.xlsx","Sheet1","Conf",0.4161333407,0.25,0.5,0.7063302008,0.1388864813,1.1878076478,0.8197420333,"low",36,"male","High Start","Even",TRUE,"unknown",FALSE,"turker",9
"R4DA5Hg1wWIDB1635kn0","R4DA5Hg1wWIDB1635kn0_responses_high.xlsx","Sheet1","Conf",0.0210298645,0,0.3,0.7536746256,0.2188339137,1.0612628068,0.7092048935,"high",29,"male","High Start","Clump",TRUE,"unknown",TRUE,"turker",17
"R4DA5Hg1wWIDB1635kn0","R4DA5Hg1wWIDB1635kn0_responses_low.xlsx","Sheet1","Conf",0.5131777782,0.15,0.7,0.4285780049,2.57421369489235e-05,1.1689578918,0.8145565915,"low",29,"male","High Start","Clump",TRUE,"unknown",TRUE,"turker",17
"R5GEFR6kDLPk399fLqTk","R5GEFR6kDLPk399fLqTk_responses_high.xlsx","Sheet1","Conf",0.2826091998,0.15,0.4,4.49211266447742e-08,6.96874112575825e-08,0.3200128137,0.6413042413,"high",57,"male","Low Start","Even",TRUE,"unknown",FALSE,"turker",24
"R5GEFR6kDLPk399fLqTk","R5GEFR6kDLPk399fLqTk_responses_low.xlsx","Sheet1","Conf",4.60205700269759e-06,0,0.04,2.77787573664074e-05,1.06105411487311e-05,0.2245376608,0.5000098506,"low",57,"male","Low Start","Even",TRUE,"unknown",FALSE,"turker",24
"R8YYjJ0nYFiG4Dkk3V3l","R8YYjJ0nYFiG4Dkk3V3l_responses_high.xlsx","Sheet1","Conf",2.05726324606199e-07,0,0.15,0.2118688063,3.60442807014694e-05,0.4638238675,0.5595440695,"high",22,"male","High Start","Clump",FALSE,"3",TRUE,"turker",29
"R8YYjJ0nYFiG4Dkk3V3l","R8YYjJ0nYFiG4Dkk3V3l_responses_low.xlsx","Sheet1","Conf",2.052e-06,0,0.05,2.084e-06,7.96e-07,0.1307947846,0.5000013272,"low",22,"male","High Start","Clump",FALSE,"3",TRUE,"turker",29
"rbmJtA4NYbLL39AVRmPL","rbmJtA4NYbLL39AVRmPL_responses_high.xlsx","Sheet1","Conf",0.2554969579,0,0.4,1.1130378731,0.538594807,1.7667470219,0.8394623597,"high",57,"female","Low Start","Even",TRUE,"unknown",FALSE,"turker",14
"rbmJtA4NYbLL39AVRmPL","rbmJtA4NYbLL39AVRmPL_responses_low.xlsx","Sheet1","Conf",0.095761069,0,0.2,0.7025734496,0.1924791603,1.1549091156,0.7199867479,"low",57,"female","Low Start","Even",TRUE,"unknown",FALSE,"turker",14
"rBYKUP3biY0QAMqPwa6k","rBYKUP3biY0QAMqPwa6k_responses_high.xlsx","Sheet1","Conf",0.0215724356,0,0.15,2.29617580772969e-07,2.41098459811617e-07,0.2859565316,0.5107859883,"high",26,"male","Low Start","Clump",TRUE,"unknown",TRUE,"turker",12
"rBYKUP3biY0QAMqPwa6k","rBYKUP3biY0QAMqPwa6k_responses_low.xlsx","Sheet1","Conf",4.17843216353031e-16,0,0.075,8.86230468749741e-06,3.3850991719665e-06,0.1727000697,0.5000022134,"low",26,"male","Low Start","Clump",TRUE,"unknown",TRUE,"turker",12
"Rct1FlvnL4GIEejWhILy","Rct1FlvnL4GIEejWhILy_responses_high.xlsx","Sheet1","Conf",9.69409434296963e-06,0,0.15,6.86660222709356e-06,2.62280866352402e-06,0.1655235348,0.5000064974,"high",30,"male","High Start","Even",TRUE,"unknown",FALSE,"turker",18
"Rct1FlvnL4GIEejWhILy","Rct1FlvnL4GIEejWhILy_responses_low.xlsx","Sheet1","Conf",5.28548559086683e-17,0,0.05,3.22265624999741e-06,1.23094515344173e-06,0.0526042491,0.5000006224,"low",30,"male","High Start","Even",TRUE,"unknown",FALSE,"turker",18
"rMVoq5SUQkPgidDOX2WG","rMVoq5SUQkPgidDOX2WG_responses_high.xlsx","Sheet1","Conf",0.0634108987,0.01,0.1,0.0148576556,4.63380861877382e-05,0.3466786833,0.5356305688,"high",26,"female","Low Start","Even",TRUE,"unknown",FALSE,"turker",13
"rMVoq5SUQkPgidDOX2WG","rMVoq5SUQkPgidDOX2WG_responses_low.xlsx","Sheet1","Conf",0.3327985637,0,0.45,1.4147352774,0.9620225963,2.0394960343,0.8942042424,"low",26,"female","Low Start","Even",TRUE,"unknown",FALSE,"turker",13
"rqm1IgfsGPrc6Y8VyP4R","rqm1IgfsGPrc6Y8VyP4R_responses_high.xlsx","Sheet1","Conf",4.02744328825562e-07,0,0.25,0.29583895,4.85722573273506e-17,0.7487405565,0.582849814,"high",30,"female","Low Start","Clump",TRUE,"unknown",TRUE,"turker",25
"rqm1IgfsGPrc6Y8VyP4R","rqm1IgfsGPrc6Y8VyP4R_responses_low.xlsx","Sheet1","Conf",0.0104390453,0,0.25,1.04362334258545e-08,1.04362334258545e-08,0.1499300462,0.5052192359,"low",30,"female","Low Start","Clump",TRUE,"unknown",TRUE,"turker",25
"RrXbldE7FaT0c9Pkk8pG","RrXbldE7FaT0c9Pkk8pG_responses_high.xlsx","Sheet1","Conf",2.47107938319996e-07,0,0.4,0.7204856529,0.1887993378,1.0295162868,0.6947849719,"high",26,"male","Low Start","Clump",TRUE,"unknown",FALSE,"turker",24
"RrXbldE7FaT0c9Pkk8pG","RrXbldE7FaT0c9Pkk8pG_responses_low.xlsx","Sheet1","Conf",3.25780334497361e-06,0,0.075,3.79492377396828e-06,1.44953189694086e-06,0.1631381472,0.5000024128,"low",26,"male","Low Start","Clump",TRUE,"unknown",FALSE,"turker",24
"Rs3nqxEpxlhx64v5Tgdn","Rs3nqxEpxlhx64v5Tgdn_responses_high.xlsx","Sheet1","Conf",0.3466639045,0,0.4,0.8162039487,4.91866501245315e-05,2.9457266416,0.8158103399,"high",28,"male","Low Start","Even",TRUE,"unknown",FALSE,"turker",14
"Rs3nqxEpxlhx64v5Tgdn","Rs3nqxEpxlhx64v5Tgdn_responses_low.xlsx","Sheet1","Conf",8.46983824695305e-17,0,0.5,1.6822669518,3.9731e-05,2.1971766239,0.8828865524,"low",28,"male","Low Start","Even",TRUE,"unknown",FALSE,"turker",14
"RU6tkGoAJGqIX1tDmJ11","RU6tkGoAJGqIX1tDmJ11_responses_high.xlsx","Sheet1","Conf",0.2167309551,0,0.7,0.8374802835,3.5459517322671e-05,1.2896459155,0.7831419956,"high",54,"male","High Start","Even",TRUE,"unknown",FALSE,"turker",23
"RU6tkGoAJGqIX1tDmJ11","RU6tkGoAJGqIX1tDmJ11_responses_low.xlsx","Sheet1","Conf",0.4405113048,0,0.6,0.1255297041,1.94289029309402e-16,0.9090322716,0.7400415229,"low",54,"male","High Start","Even",TRUE,"unknown",FALSE,"turker",23
"rVHWdWdg21Dy5X37q8Yv","rVHWdWdg21Dy5X37q8Yv_responses_high.xlsx","Sheet1","Conf",0.6609811484,0,0.7,5.3863525390625e-05,1.36397486587599e-05,1.185828381,0.8304952494,"high",28,"male","High Start","Clump",TRUE,"unknown",FALSE,"turker",19
"rVHWdWdg21Dy5X37q8Yv","rVHWdWdg21Dy5X37q8Yv_responses_low.xlsx","Sheet1","Conf",0.4438724946,0.3,0.5,7.49627761251784e-07,5.14211718790038e-07,0.517245482,0.721935951,"low",28,"male","High Start","Clump",TRUE,"unknown",FALSE,"turker",19
"Rvw45KKjpvs7NtpuLe5f","Rvw45KKjpvs7NtpuLe5f_responses_high.xlsx","Sheet1","Conf",0.5197000962,0.4,0.6,2.62356421733367e-06,1.98411392647266e-06,0.5170129004,0.7598499679,"high",22,"male","High Start","Even",FALSE,"9",TRUE,"turker",11
"Rvw45KKjpvs7NtpuLe5f","Rvw45KKjpvs7NtpuLe5f_responses_low.xlsx","Sheet1","Conf",0.271691155,0.1,0.4,7.20826908946591e-07,4.06789845062826e-07,0.4448837649,0.6358453611,"low",22,"male","High Start","Even",FALSE,"9",TRUE,"turker",11
"S71YIwRMOMlk7q7aiclh","S71YIwRMOMlk7q7aiclh_responses_high.xlsx","Sheet1","Conf",5.05562324815466e-06,0,0.04,2.44613957482536e-05,9.3434217635707e-06,0.3518675665,0.5000091416,"high",37,"male","Low Start","Even",TRUE,"unknown",FALSE,"turker",25
"S71YIwRMOMlk7q7aiclh","S71YIwRMOMlk7q7aiclh_responses_low.xlsx","Sheet1","Conf",0.1781232483,0.04,0.3,0.4267367326,3.53612844974379e-05,0.93787585,0.6865178972,"low",37,"male","Low Start","Even",TRUE,"unknown",FALSE,"turker",25
"S8WNKUTTCGRcc2uVaWVc","S8WNKUTTCGRcc2uVaWVc_responses_high.xlsx","Sheet1","Conf",0.0589258993,0,0.25,0.8954152258,0.4016646499,1.2639902937,0.7521993863,"high",39,"female","High Start","Clump",TRUE,"unknown",FALSE,"turker",11
"S8WNKUTTCGRcc2uVaWVc","S8WNKUTTCGRcc2uVaWVc_responses_low.xlsx","Sheet1","Conf",0.46082938,0,0.6,1.2758310684,0.4633247362,2.1247353209,0.9010678782,"low",39,"female","High Start","Clump",TRUE,"unknown",FALSE,"turker",11
"s9Mp2ePm7CrQu54SRPuv","s9Mp2ePm7CrQu54SRPuv_responses_high.xlsx","Sheet1","Conf",0.3345459053,0.25,0.4,2.71538458930744e-06,1.7739376782242e-06,0.3876110519,0.6672730799,"high",35,"male","High Start","Even",TRUE,"unknown",FALSE,"turker",12
"s9Mp2ePm7CrQu54SRPuv","s9Mp2ePm7CrQu54SRPuv_responses_low.xlsx","Sheet1","Conf",3.70038167960652e-06,0,0.7,2.4343414691,1.4947510306,2.880891502,0.9574052354,"low",35,"male","High Start","Even",TRUE,"unknown",FALSE,"turker",12
"s9xvqtm3mbesNQGC8rsJ","s9xvqtm3mbesNQGC8rsJ_responses_high.xlsx","Sheet1","Conf",0.1458264124,0.075,0.2,0.1719571445,3.9621433254921e-05,0.59266717,0.6142454649,"high",37,"female","Low Start","Even",TRUE,"unknown",FALSE,"turker",13
"s9xvqtm3mbesNQGC8rsJ","s9xvqtm3mbesNQGC8rsJ_responses_low.xlsx","Sheet1","Conf",0.4248432996,0,0.5,1.564508995,1.0064680721,2.3552989632,0.9227539952,"low",37,"female","Low Start","Even",TRUE,"unknown",FALSE,"turker",13
"scwDdWtht1hO2MxlAb2G","scwDdWtht1hO2MxlAb2G_responses_high.xlsx","Sheet1","Conf",0.1373188662,0,0.2,0.6967453503,0.2288391042,1.2147064377,0.731600887,"high",52,"female","High Start","Clump",TRUE,"unknown",FALSE,"turker",12
"scwDdWtht1hO2MxlAb2G","scwDdWtht1hO2MxlAb2G_responses_low.xlsx","Sheet1","Conf",0.2329319888,0.15,0.3,0.3660930663,5.59258138191241e-05,0.8643469434,0.6948071405,"low",52,"female","High Start","Clump",TRUE,"unknown",FALSE,"turker",12
"scYkaP0rC6NPYK9BdraC","scYkaP0rC6NPYK9BdraC_responses_high.xlsx","Sheet1","Conf",5.76825806318473e-06,0,0.1,3.79492377396828e-06,1.44953189694086e-06,0.2126071576,0.500003668,"high",36,"male","High Start","Clump",TRUE,"unknown",TRUE,"turker",35
"scYkaP0rC6NPYK9BdraC","scYkaP0rC6NPYK9BdraC_responses_low.xlsx","Sheet1","Conf",0.1752736779,0,0.5,0.0017212536,3.95614318361278e-05,0.7325970779,0.5880369538,"low",36,"male","High Start","Clump",TRUE,"unknown",TRUE,"turker",35
"sdKXU6FRpjCGdB0cyMiO","sdKXU6FRpjCGdB0cyMiO_responses_high.xlsx","Sheet1","Conf",0.2267029162,0,0.35,0.8871512033,0.4205605348,1.3827322595,0.7948998109,"high",62,"female","Low Start","Even",TRUE,"unknown",FALSE,"turker",16
"sdKXU6FRpjCGdB0cyMiO","sdKXU6FRpjCGdB0cyMiO_responses_low.xlsx","Sheet1","Conf",0.3201842836,0.1,0.45,0.8286318217,0.3005429006,1.3153762586,0.8103577177,"low",62,"female","Low Start","Even",TRUE,"unknown",FALSE,"turker",16
"SEj4ImIGMkDeb2yBLKJT","SEj4ImIGMkDeb2yBLKJT_responses_high.xlsx","Sheet1","Conf",0.1597844392,0,0.5,0.5539791032,5.6626e-05,0.9749822923,0.7079141648,"high",37,"male","High Start","Clump",FALSE,"5",TRUE,"turker",26
"SEj4ImIGMkDeb2yBLKJT","SEj4ImIGMkDeb2yBLKJT_responses_low.xlsx","Sheet1","Conf",8.63701097843439e-08,0,0.2,0.3878513582,4.42564473405496e-05,0.6272097017,0.6080543853,"low",37,"male","High Start","Clump",FALSE,"5",TRUE,"turker",26
"sftDP218kmWiYHRLEPU7","sftDP218kmWiYHRLEPU7_responses_high.xlsx","Sheet1","Conf",0.0950933234,0,0.15,0.245260114,3.82590890536499e-05,0.5905783557,0.6098413612,"high",46,"female","Low Start","Clump",TRUE,"unknown",FALSE,"turker",19
"sftDP218kmWiYHRLEPU7","sftDP218kmWiYHRLEPU7_responses_low.xlsx","Sheet1","Conf",0.2930279621,0.15,0.45,0.6260221459,0.1126600402,1.0268607375,0.7674029311,"low",46,"female","Low Start","Clump",TRUE,"unknown",FALSE,"turker",19
"shnOvXbyFCbhEh0OIt1c","shnOvXbyFCbhEh0OIt1c_responses_high.xlsx","Sheet1","Conf",9.8272324803532e-08,0,0.35,0.8890379788,0.3492007681,1.3286267421,0.735208917,"high",40,"male","High Start","Clump",TRUE,"unknown",FALSE,"turker",22
"shnOvXbyFCbhEh0OIt1c","shnOvXbyFCbhEh0OIt1c_responses_low.xlsx","Sheet1","Conf",3.82070880369811e-05,0,0.35,0.2476046547,3.60042840211409e-05,0.5891189994,0.5695089249,"low",40,"male","High Start","Clump",TRUE,"unknown",FALSE,"turker",22
"SmyRLfNxVQtv3TnP8w5c","SmyRLfNxVQtv3TnP8w5c_responses_high.xlsx","Sheet1","Conf",0.1057898115,0,0.15,0.0214794624,0,0.4531054878,0.5583126217,"high",65,"female","High Start","Even",TRUE,"unknown",FALSE,"turker",24
"SmyRLfNxVQtv3TnP8w5c","SmyRLfNxVQtv3TnP8w5c_responses_low.xlsx","Sheet1","Conf",0.5875640179,0.3,0.7,0.8949833081,0.0882212281,1.6402161826,0.8913573894,"low",65,"female","High Start","Even",TRUE,"unknown",FALSE,"turker",24
"SN3WUbSGDLpBPyUVPNsS","SN3WUbSGDLpBPyUVPNsS_responses_high.xlsx","Sheet1","Conf",7.2858385991026e-17,0,0.15,5.15624999999976e-05,1.96951224550826e-05,0.1968603854,0.5000142589,"high",28,"male","High Start","Clump",TRUE,"unknown",TRUE,"turker",18
"SN3WUbSGDLpBPyUVPNsS","SN3WUbSGDLpBPyUVPNsS_responses_low.xlsx","Sheet1","Conf",0.4649228546,0,0.7,0.2711749226,1.11022302462516e-16,1.0228926586,0.7731434702,"low",28,"male","High Start","Clump",TRUE,"unknown",TRUE,"turker",18
"spgdyQgiRTttHkoOWap8","spgdyQgiRTttHkoOWap8_responses_high.xlsx","Sheet1","Conf",0.1802545875,0,0.35,0.3536324504,3.54228862327723e-05,0.8057850428,0.6710587749,"high",36,"male","Low Start","Even",TRUE,"unknown",FALSE,"turker",25
"spgdyQgiRTttHkoOWap8","spgdyQgiRTttHkoOWap8_responses_low.xlsx","Sheet1","Conf",0.3383841984,0.25,0.45,1.37593597173679e-06,8.9888727832489e-07,0.4081579195,0.6691919723,"low",36,"male","Low Start","Even",TRUE,"unknown",FALSE,"turker",25
"SyJmGD4Qk1YdY12uHycT","SyJmGD4Qk1YdY12uHycT_responses_high.xlsx","Sheet1","Conf",0.4830267099,0,0.7,1.2472532438,0.3406240692,2.1087360096,0.9023412348,"high",35,"female","High Start","Clump",TRUE,"unknown",FALSE,"turker",11
"SyJmGD4Qk1YdY12uHycT","SyJmGD4Qk1YdY12uHycT_responses_low.xlsx","Sheet1","Conf",0.7417151327,0,0.8,1.1534351821,0.178567743,2.4034751917,0.9464407415,"low",35,"female","High Start","Clump",TRUE,"unknown",FALSE,"turker",11
"T4Lc2pHL9EH9pg4sY2Ct","T4Lc2pHL9EH9pg4sY2Ct_responses_high.xlsx","Sheet1","Conf",0.0604798433,0,0.2,3.68634191305077e-08,3.68634191305077e-08,0.2391929636,0.5302396274,"high",63,"male","High Start","Even",TRUE,"unknown",FALSE,"turker",16
"T4Lc2pHL9EH9pg4sY2Ct","T4Lc2pHL9EH9pg4sY2Ct_responses_low.xlsx","Sheet1","Conf",0.0002292769,0,0.1,6.64878563840971e-07,6.64878563840971e-07,0.1252367672,0.5001145393,"low",63,"male","High Start","Even",TRUE,"unknown",FALSE,"turker",16
"tA2PPGP3I9WoOnQyj5Tq","tA2PPGP3I9WoOnQyj5Tq_responses_high.xlsx","Sheet1","Conf",0.3006470951,0.25,0.35,0.5294032982,4.54413474751169e-05,1.0876887837,0.752377058,"high",60,"female","High Start","Clump",TRUE,"unknown",FALSE,"turker",18
"tA2PPGP3I9WoOnQyj5Tq","tA2PPGP3I9WoOnQyj5Tq_responses_low.xlsx","Sheet1","Conf",0.2970549766,0.2,0.35,0.7582475279,0.2012105881,1.3337026376,0.7919818926,"low",60,"female","High Start","Clump",TRUE,"unknown",FALSE,"turker",18
"TbIq4FVW3Yqh988o0xDJ","TbIq4FVW3Yqh988o0xDJ_responses_high.xlsx","Sheet1","Conf",0.0538954579,0,0.2,0.2806998693,0,0.6883900922,0.6013747422,"high",21,"male","High Start","Even",TRUE,"unknown",FALSE,"turker",14
"TbIq4FVW3Yqh988o0xDJ","TbIq4FVW3Yqh988o0xDJ_responses_low.xlsx","Sheet1","Conf",0.300551001,0,0.45,0.3201674162,5.55111512312578e-17,1.1537812914,0.7129122114,"low",21,"male","High Start","Even",TRUE,"unknown",FALSE,"turker",14
"tBKJIF18NkQNL9smeLjf","tBKJIF18NkQNL9smeLjf_responses_high.xlsx","Sheet1","Conf",0.5059090938,0,0.8,0.6380525762,1.57806634166007e-05,1.4037193539,0.8389591534,"high",38,"male","High Start","Clump",TRUE,"unknown",FALSE,"turker",12
"tBKJIF18NkQNL9smeLjf","tBKJIF18NkQNL9smeLjf_responses_low.xlsx","Sheet1","Conf",0.5378591371,0.4,0.6,1.20615959167492e-06,9.12178184006088e-07,0.5404001326,0.7689292849,"low",38,"male","High Start","Clump",TRUE,"unknown",FALSE,"turker",12
"tCX76C8sxaq2BHafjtIv","tCX76C8sxaq2BHafjtIv_responses_high.xlsx","Sheet1","Conf",1.53768092851953e-06,0,0.4,0.5006556831,3.9593114058958e-05,0.7720898165,0.6383372056,"high",30,"female","High Start","Clump",TRUE,"unknown",FALSE,"turker",18
"tCX76C8sxaq2BHafjtIv","tCX76C8sxaq2BHafjtIv_responses_low.xlsx","Sheet1","Conf",0.4224745055,0.3,0.5,3.90663743019375e-07,7.01575954248828e-07,0.415128458,0.7112369087,"low",30,"female","High Start","Clump",TRUE,"unknown",FALSE,"turker",18
"TgUYhRTddiN36birod88","TgUYhRTddiN36birod88_responses_high.xlsx","Sheet1","Conf",0.2615772824,0,0.4,0.0244445921,4.85722573273506e-17,0.5696024234,0.6358799706,"high",37,"male","High Start","Even",TRUE,"unknown",FALSE,"turker",56
"TgUYhRTddiN36birod88","TgUYhRTddiN36birod88_responses_low.xlsx","Sheet1","Conf",1.41272631513355e-07,0,0.15,0.058073494,3.56634813492763e-05,0.3213358681,0.5163774085,"low",37,"male","High Start","Even",TRUE,"unknown",FALSE,"turker",56
"ThkoRClBrXn8oA7hp95a","ThkoRClBrXn8oA7hp95a_responses_high.xlsx","Sheet1","Conf",1.6996385154905e-06,0,0.01,1.24763917917535e-06,4.76555760748963e-07,0.0569424835,0.5000009151,"high",31,"female","Low Start","Even",TRUE,"unknown",FALSE,"turker",13
"ThkoRClBrXn8oA7hp95a","ThkoRClBrXn8oA7hp95a_responses_low.xlsx","Sheet1","Conf",0.0469158897,0,0.4,1.1733108986,0.5903318211,1.4779432537,0.8061742074,"low",31,"female","Low Start","Even",TRUE,"unknown",FALSE,"turker",13
"tIpNyNBVEV84oVsQ5Ork","tIpNyNBVEV84oVsQ5Ork_responses_high.xlsx","Sheet1","Conf",6.88e-07,0,0.25,0.4564572295,0.0209055128,0.7266883213,0.626562979,"high",34,"female","High Start","Clump",FALSE,"5",TRUE,"turker",23
"tIpNyNBVEV84oVsQ5Ork","tIpNyNBVEV84oVsQ5Ork_responses_low.xlsx","Sheet1","Conf",0.6886036784,0.6,0.7,1.04236900806426e-05,9.12566021166205e-06,0.6939113062,0.8443022708,"low",34,"female","High Start","Clump",FALSE,"5",TRUE,"turker",23
"tj3UUnuw7Y2T69iuMk1t","tj3UUnuw7Y2T69iuMk1t_responses_high.xlsx","Sheet1","Conf",0.0349081666,0,0.15,0.5695949965,0.1345516176,0.9172895097,0.6684320401,"high",30,"male","High Start","Even",TRUE,"unknown",FALSE,"turker",12
"tj3UUnuw7Y2T69iuMk1t","tj3UUnuw7Y2T69iuMk1t_responses_low.xlsx","Sheet1","Conf",0.4813884418,0.1,0.6,0.6625681185,3.86684939569523e-05,1.4113435203,0.8341937612,"low",30,"male","High Start","Even",TRUE,"unknown",FALSE,"turker",12
"Tjm6534r6HakJnC5sk0E","Tjm6534r6HakJnC5sk0E_responses_high.xlsx","Sheet1","Conf",2.9985517909597e-06,0,0.9,3.7161347121,0.6469025193,4.2510103586,0.9957015616,"high",35,"male","Low Start","Even",TRUE,"unknown",FALSE,"turker",66
"Tjm6534r6HakJnC5sk0E","Tjm6534r6HakJnC5sk0E_responses_low.xlsx","Sheet1","Conf",1.99033824534877e-06,0,0.9,3.9024005379,1.5081152356,4.4883553176,0.9971044608,"low",35,"male","Low Start","Even",TRUE,"unknown",FALSE,"turker",66
"tKvKGP4COH0bJ6xEG2XF","tKvKGP4COH0bJ6xEG2XF_responses_high.xlsx","Sheet1","Conf",0.0563847076,0,0.35,0.3225981465,3.82328669368673e-05,0.6470746591,0.6133251819,"high",32,"female","Low Start","Clump",TRUE,"unknown",FALSE,"turker",53
"tKvKGP4COH0bJ6xEG2XF","tKvKGP4COH0bJ6xEG2XF_responses_low.xlsx","Sheet1","Conf",0.0345002634,0,0.5,0.9396784239,0.1205872322,1.2644999741,0.7555349673,"low",32,"female","Low Start","Clump",TRUE,"unknown",FALSE,"turker",53
"tLuStAeohsmbCclxrE8f","tLuStAeohsmbCclxrE8f_responses_high.xlsx","Sheet1","Conf",0.0135221152,0,0.25,0.6425621579,0.1524181688,0.9165240243,0.6796066401,"high",44,"male","Low Start","Even",TRUE,"unknown",FALSE,"turker",23
"tLuStAeohsmbCclxrE8f","tLuStAeohsmbCclxrE8f_responses_low.xlsx","Sheet1","Conf",0.2030683761,0,0.45,0.662706041,0.0636032762,1.1442299489,0.7452394906,"low",44,"male","Low Start","Even",TRUE,"unknown",FALSE,"turker",23
"TPwDHn6xk39DfI0sP95I","TPwDHn6xk39DfI0sP95I_responses_high.xlsx","Sheet1","Conf",0.0499511081,0,0.1,0.4745818999,0.1059763213,0.8619199368,0.649817603,"high",36,"male","Low Start","Even",TRUE,"unknown",FALSE,"turker",12
"TPwDHn6xk39DfI0sP95I","TPwDHn6xk39DfI0sP95I_responses_low.xlsx","Sheet1","Conf",0.4453320347,0.2,0.6,1.0547102982,0.4918669771,1.604367606,0.8735929363,"low",36,"male","Low Start","Even",TRUE,"unknown",FALSE,"turker",12
"TsjH2oDvbANf3hUpXfWV","TsjH2oDvbANf3hUpXfWV_responses_high.xlsx","Sheet1","Conf",3.27337890447104e-05,0,0.15,4.43214699625989e-05,1.69292950943553e-05,0.2043802869,0.5000285827,"high",35,"male","High Start","Clump",TRUE,"unknown",FALSE,"turker",27
"TsjH2oDvbANf3hUpXfWV","TsjH2oDvbANf3hUpXfWV_responses_low.xlsx","Sheet1","Conf",0.1744004487,0,0.3,6.96945190429198e-07,3.93312489466153e-07,0.4745054858,0.58720005,"low",35,"male","High Start","Clump",TRUE,"unknown",FALSE,"turker",27
"TU3xBk82fYQNxdi0HUU6","TU3xBk82fYQNxdi0HUU6_responses_high.xlsx","Sheet1","Conf",0.028418294,0,0.1,0.466310513,0.1584361457,0.7764156847,0.6397357649,"high",57,"male","High Start","Even",TRUE,"unknown",TRUE,"turker",14
