"","ParticipantIdentifier","Age","ClumpCondition","Condition","NativeSpeaker","EngAoA","Bilingual","Gender","TimeToCompletion","CompletionDate","File","WordFreq","AUROCnofit","R","Rmin","Rmax","dprime","dmin","dmax","AUROC","logL","StartCondition","OrderCondition"
"15","1HdBwStvDAXafrRtVBBk",25,"even","low_even_picsFirst","TRUE","unknown","FALSE","male",32,"6/2/2021","../data/1HdBwStvDAXafrRtVBBk_responses_words.xlsx","LoFreq",0.550588645037351,0,6.60408543905442e-05,0.055055131642984,0.259342703760829,9.57122456382199e-05,0.554030642734327,0.57269688882343,-213.543965634652,"Low","Even"
"16","1TmyepcMUPrtmT3rg5NY",26,"even","high_even_picsFirst","TRUE","unknown","TRUE","male",26,"6/8/2021","../data/1TmyepcMUPrtmT3rg5NY_responses_words.xlsx","LoFreq",0.727623875059635,0,4.06995703684923e-05,0.906208014781774,1.23839718139374,8.14119426865868e-05,1.63470342697866,0.809036343196794,-206.546977852023,"High","Even"
"17","1TmyepcMUPrtmT3rg5NY",26,"even","high_even_picsFirst","TRUE","unknown","TRUE","male",26,"6/8/2021","../data/1TmyepcMUPrtmT3rg5NY_responses_words.xlsx","AllFreq",0.699736811169714,0,4.07073851402224e-05,0.875577072378672,1.20144794138029,8.14235183684236e-05,1.49249265429421,0.801875057057487,-238.965548502186,"High","Even"
"18","1TmyepcMUPrtmT3rg5NY",26,"even","high_even_picsFirst","TRUE","unknown","TRUE","male",26,"6/8/2021","../data/1TmyepcMUPrtmT3rg5NY_responses_words.xlsx","HiFreq",0.678058303605667,0,4.07033612756303e-05,0.905578926110521,1.16044256112865,8.14566099981968e-05,1.5375630552317,0.79373724657853,-210.361722832812,"High","Even"
"19","1VqVx5Gnlq7OLfa0k42u",NA,"clumped","high_clumped_picsFirst","unknown","unknown","FALSE","unknown",36,"4/30/2021","../data/1VqVx5Gnlq7OLfa0k42u_responses_words.xlsx","AllFreq",0.632842874495054,0.345065974047471,4.06940968849151e-05,0.49329174461584,1.20348746814409,0.0846517599044366,2.20536813129546,0.870385179545792,-245.153893070528,"High","Clumped"
"20","1VqVx5Gnlq7OLfa0k42u",NA,"clumped","high_clumped_picsFirst","unknown","unknown","FALSE","unknown",36,"4/30/2021","../data/1VqVx5Gnlq7OLfa0k42u_responses_words.xlsx","LoFreq",0.700007863083101,0.669776619828562,0.46200049209058,0.747278039106642,0.133662712412163,8.1394924861656e-05,1.74852529973307,0.847263175975968,-139.948234189838,"High","Clumped"
"21","1VqVx5Gnlq7OLfa0k42u",NA,"clumped","high_clumped_picsFirst","unknown","unknown","FALSE","unknown",36,"4/30/2021","../data/1VqVx5Gnlq7OLfa0k42u_responses_words.xlsx","HiFreq",0.576615803593995,0,4.20622930923494e-05,0.245958770368544,1.52687692509229,0.535588096775466,1.97129498265438,0.859249405061973,-127.656814855976,"High","Clumped"
"22","25iItpJyAgkkjFsUx6gS",38,"clumped","high_clumped_picsFirst","TRUE","unknown","TRUE","male",39,"5/28/2021","../data/25iItpJyAgkkjFsUx6gS_responses_words.xlsx","AllFreq",0.62976323427938,0.128108204183316,4.07337903507453e-05,0.36897979719706,0.733463681081918,0.273984366378487,1.07646848912575,0.736541917188788,-379.362618850752,"High","Clumped"
"23","25iItpJyAgkkjFsUx6gS",38,"clumped","high_clumped_picsFirst","TRUE","unknown","TRUE","male",39,"5/28/2021","../data/25iItpJyAgkkjFsUx6gS_responses_words.xlsx","HiFreq",0.586409029450806,0.00393870885407077,4.0696553247485e-05,0.291557033955172,0.573019707176189,0.0130664624391594,0.830128753731303,0.658577071666514,-285.286251674054,"High","Clumped"
"24","25iItpJyAgkkjFsUx6gS",38,"clumped","high_clumped_picsFirst","TRUE","unknown","TRUE","male",39,"5/28/2021","../data/25iItpJyAgkkjFsUx6gS_responses_words.xlsx","LoFreq",0.684784190956634,0.212046882490254,4.06909657913001e-05,0.592292898193737,1.02505517891547,0.198906346246275,1.50141569135045,0.815153717823705,-267.760663172477,"High","Clumped"
"25","2ANiOcldD1K2kY2Kfk4e",25,"even","high_even_picsFirst","TRUE","unknown","FALSE","female",35,"6/23/2021","../data/2ANiOcldD1K2kY2Kfk4e_responses_words.xlsx","LoFreq",0.587893103570423,0.423693973818077,0.229058353902046,0.540867773201708,0,3.13384721580352e-05,0.406709419148187,0.711801896753059,-301.617213464818,"High","Even"
